Tarea,S. Fijo,,Tarea,Presentismo,,Tarea,HE,,Tarea,HA,,Tarea,KM
Auxiliar,$900.000,,Auxiliar,$72.000,,Auxiliar,$10.227,,Auxiliar,$7.670,,Auxiliar,$70
Medio oficial,$1.100.000,,Medio oficial,$88.000,,Medio oficial,$12.500,,Medio oficial,$9.375,,Medio oficial,$70
Oficial,$1.300.000,,Oficial,$104.000,,Oficial,$14.773,,Oficial,$11.080,,Oficial,$100
Supervisor,$2.000.000,,Supervisor,$160.000,,Supervisor,$22.727,,Supervisor,$17.045,,Supervisor,$100
Responsable Produccion,$2.200.000,,Responsable Produccion,$176.000,,Responsable Produccion,$25.000,,Responsable Produccion,$18.750,,Responsable Produccion,$100
Coordinador Ventas,$1.800.000,,Coordinador Ventas,$144.000,,Coordinador Ventas,$20.455,,Coordinador Ventas,$15.341,,Coordinador Ventas,$100
Administrativo A,$1.690.000,,Administrativo A,$135.200,,Administrativo A,$19.205,,Administrativo A,$14.403,,Administrativo A,$100
Administrativo B,$1.210.000,,Administrativo B,$96.800,,Administrativo B,$13.750,,Administrativo B,$10.313,,Administrativo B,$100
Supervisor General,$2.600.000,,Supervisor General,$208.000,,Supervisor General,$29.545,,Supervisor General,$22.159,,Supervisor General,$100
Vendedor A,$1.500.000,,Vendedor A,$120.000,,Vendedor A,$17.045,,Vendedor A,$12.784,,Vendedor A,$100
Vendedor B,$1.200.000,,Vendedor B,$96.000,,Vendedor B,$13.636,,Vendedor B,$10.227,,Vendedor B,$100
Director,$3.150.000,,Director,$252.000,,Director,$35.795,,Director,$26.847,,Director,$100
